No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
13,Cards,Pricing card with popular badge,"Display three pricing tiers in a CSS Grid with the middle card visually elevated using a larger border, shadow, and a Most Popular badge",Use a positioned badge element and stronger border and shadow on the featured card,Style all three cards identically with no visual hierarchy,".plan--popular {
  border: 2px solid var(--color-primary);
  box-shadow: 0 0 0 6px rgba(99,102,241,0.05);
  position: relative;
}
.plan-badge {
  position: absolute;
  top: -14px;
  left: 50%;
  transform: translateX(-50%);
  background: var(--color-primary);
  color: white;
  padding: 0.3rem 1.1rem;
  border-radius: 999px;
}",.plan { border: 1px solid #eee; },Medium,
14,Cards,Testimonial card with avatar,"Use a card with star rating, quoted text, and author avatar (CSS-only gradient circle with initials) for social proof sections",Generate avatar colors with CSS gradients; use font-weight for name hierarchy,Use images for avatars when CSS gradients suffice,"<div class=avatar style=background: linear-gradient(135deg, #6366F1, #818CF8)>MG</div>",<img src=/avatars/maria.jpg alt=Maria />,Low,
15,Forms,Frontmatter data fetching,Fetch data in the component frontmatter using top-level await; this runs at build time and produces static HTML,Use fetch() with await in the frontmatter section to load data at build time,Use useEffect or client-side fetch for data that is available at build time,"const response = await fetch('https://api.example.com/data');
const data = await response.json();","<script>
  fetch('/api/data').then(r => r.json()).then(data => render(data))
</script>",High,https://docs.astro.build/en/guides/data-fetching/
16,Forms,Form with API route endpoint,Create a POST API route in pages/api/ that handles form submissions server-side. Use the Request object to parse form data,Name the exported function POST in pages/api/contact.ts,Handle form submissions entirely on the client with JavaScript,"// pages/api/contact.ts
export const POST = async ({ request }) => {
  const data = await request.formData();
  const name = data.get('name');
  return new Response(JSON.stringify({ ok: true }));
};",<form onsubmit=handleSubmit(event)>form fields</form>,Medium,https://docs.astro.build/en/guides/endpoints/
17,Forms,Accessible form inputs,Every form input must have a visible label with a for attribute matching the input id. Use placeholder as supplementary text only,Pair label for=id with input id=id,Use placeholder as the only label or omit labels entirely,"<label for=email>Email</label>
<input type=email id=email name=email required />",<input type=email placeholder=Email />,High,https://docs.astro.build/en/guides/forms/
18,Footer,Multi-column footer with links,"Create a responsive footer with 3-4 columns of links (product, company, legal) and a brand column using CSS Grid","Use grid-template-columns: repeat(3, 1fr) on tablet and up; stack on mobile",Hardcode all links in a single flat list without grouping,".footer-grid {
  display: grid;
  grid-template-columns: 1fr;
  gap: 2rem;
}
@media (min-width: 640px) {
  .footer-grid { grid-template-columns: repeat(3, 1fr); }
}",<footer><a>Link 1</a><a>Link 2</a>...</footer>,Medium,
19,DataDisplay,FAQ accordion with details/summary,Use the native details name=faq element for an accordion that requires zero JavaScript. The name attribute groups items so only one stays open,Use details name=faq-group to create exclusive accordions without JS,Use a JavaScript library or custom component for a simple accordion,"<details name=faq>
  <summary>How long does it take?</summary>
  <p>48 hours maximum.</p>
</details>","<Accordion client:load>
  <AccordionItem>content</AccordionItem>
</Accordion>",High,https://docs.astro.build/en/concepts/islands/
20,DataDisplay,Comparison table with static data,Render a static comparison table using semantic table HTML or CSS Grid. Data lives in the frontmatter as a const array,Define comparison data as const in the frontmatter; map over it to render rows,Use a client-side framework just to render a static table,"const rows = [
  { feature: 'Web Hosting', basic: true, pro: true },
  { feature: 'Custom Domain', basic: false, pro: true }
];",<ComparisonTable client:load />,Medium,
21,Media,Image optimization with astro:assets,"Use the built-in Image component from astro:assets for automatic format conversion (WebP/AVIF), resizing, and lazy loading","Import Image from astro:assets and provide alt, width, and height",Use bare img tags for local images that could be optimized,"import { Image } from 'astro:assets';
import heroImage from '../assets/hero.jpg';
<Image src={heroImage} alt=Hero width={800} height={600} loading=lazy />",<img src=./hero.jpg alt= />,High,https://docs.astro.build/en/guides/images/
22,Server,ServerIsland pattern with fallback,Wrap dynamic content in a Server Island with server:defer directive and provide a fallback slot for the static placeholder shown during load,Use server:defer only on components that genuinely need runtime data; always provide a skeleton fallback,Apply server:defer to every component or omit the fallback slot,"<PricingPanel server:defer productId={id}>
  <div slot=fallback class=skeleton>Loading pricing...</div>
</PricingPanel>",<PricingPanel server:defer />,High,https://docs.astro.build/en/guides/server-islands/
